terms,pos,type,count
균형,Noun,윤석열,1
균형,Noun,정상명,2
그,Noun,김종빈,2
그,Noun,김준규,3
그,Noun,김진태,4
그,Noun,문무일,4
그,Noun,윤석열,1
그,Noun,임채진,4
그,Noun,정상명,7
그,Noun,채동욱,2
그,Noun,한상대,1
그간,Noun,윤석열,1
그것,Noun,윤석열,1
그것,Noun,채동욱,1
그것,Noun,한상대,1
그늘,Noun,김종빈,1
그늘,Noun,임채진,1
그동안,Noun,김준규,2
그동안,Noun,김진태,1
그동안,Noun,임채진,1
그동안,Noun,채동욱,1
그래서,Adverb,정상명,1
그래서,Adverb,채동욱,1
그러기,Adjective,윤석열,1
그러나,Conjunction,김수남,2
그러나,Conjunction,김종빈,3
그러나,Conjunction,문무일,2
그러나,Conjunction,윤석열,1
그러나,Conjunction,임채진,1
그러나,Conjunction,정상명,2
그러나,Conjunction,채동욱,1
그러므로,Conjunction,채동욱,2
그러한,Adjective,정상명,1
그런,Adjective,윤석열,1
그렇게,Adverb,김진태,1
그렇습니다,Adjective,김수남,1
그려야,Verb,채동욱,1
그릇된,Adjective,채동욱,1
그리고,Conjunction,김준규,3
그리고,Conjunction,김진태,2
그리고,Conjunction,문무일,1
그리고,Conjunction,윤석열,3
그리고,Conjunction,정상명,1
그리하여,Conjunction,임채진,1
그마,Foreign,정상명,1
그저,Adverb,정상명,1
그쳐,Verb,채동욱,1
그치지,Verb,김진태,1
극복,Noun,김수남,1
극복,Noun,임채진,1
극복,Noun,정상명,1
극복,Noun,채동욱,1
근간,Noun,김수남,1
근간,Noun,김진태,1
근간,Noun,한상대,1
근거,Noun,윤석열,1
근무,Noun,김수남,1
근무,Noun,김종빈,1
근무,Noun,문무일,1
근무,Noun,정상명,1
근본,Noun,채동욱,1
근절,Noun,김진태,1
근절,Noun,채동욱,1
금,Noun,채동욱,1
금융,Noun,김수남,1
급변,Noun,김진태,1
급속히,Adjective,김종빈,1
급속히,Adjective,채동욱,1
긍정,Noun,한상대,1
긍지,Noun,김진태,1
긍지,Noun,채동욱,1
기,Modifier,김진태,2
기,Modifier,윤석열,1
기,Modifier,임채진,1
기간,Noun,김준규,2
기강,Noun,김종빈,1
기강,Noun,김진태,1
기강,Noun,한상대,1
기계,Noun,김수남,1
기계,Noun,윤석열,1
기관,Noun,김수남,1
기관,Noun,김종빈,1
기관,Noun,김진태,3
기관,Noun,윤석열,2
기관,Noun,임채진,1
기관,Noun,정상명,2
기관,Noun,채동욱,1
기관,Noun,한상대,3
기구,Noun,채동욱,1
기능,Noun,김수남,3
기능,Noun,김진태,2
기능,Noun,정상명,5
기능,Noun,채동욱,1
기다릴,Verb,정상명,1
기대,Noun,김종빈,1
기대,Noun,임채진,1
기대,Noun,채동욱,1
기대하고,Adjective,김종빈,1
기대하면서,Adjective,임채진,1
기대합니다,Adjective,김진태,1
기대합니다,Adjective,정상명,1
기대합니다,Adjective,한상대,2
기도,Noun,정상명,1
기득권,Noun,정상명,1
기록,Noun,문무일,1
기르고,Verb,문무일,1
기를,Verb,문무일,1
기를,Verb,채동욱,1
기만,Noun,한상대,1
기밀,Noun,임채진,1
기반,Noun,한상대,1
기법,Noun,김종빈,1
기법,Noun,임채진,1
기법,Noun,정상명,1
기본,Noun,김수남,1
기본,Noun,김종빈,1
기본,Noun,김진태,1
기본,Noun,문무일,1
기본,Noun,채동욱,7
기본권,Noun,윤석열,1
기본권,Noun,정상명,1
기쁘고,Adjective,윤석열,1
기쁜,Adjective,김종빈,1
기쁨,Noun,정상명,1
기소,Noun,윤석열,1
기술,Noun,채동욱,1
기억,Noun,김진태,1
기억,Noun,정상명,1
기업,Noun,김수남,1
기업,Noun,김진태,1
기업,Noun,채동욱,1
기여,Noun,김진태,1
기여,Noun,문무일,1
기여,Noun,임채진,1
기울여,Verb,김수남,1
기울여,Verb,김종빈,1
기울여야,Verb,김수남,1
기울여야,Verb,정상명,1
기울여야,Verb,채동욱,1
기울이고,Verb,김종빈,1
기울입시다,Verb,문무일,1
기웃,Noun,김종빈,1
기원,Noun,김준규,1
기원,Noun,임채진,1
기존,Noun,김진태,1
기존,Noun,정상명,1
기준,Noun,김수남,1
기준,Noun,김종빈,1
기준,Noun,임채진,1
기준,Noun,채동욱,1
기틀,Noun,한상대,1
기품,Noun,문무일,1
기필코,Noun,김준규,1
기하,Noun,임채진,1
기하,Noun,채동욱,1
기해,Noun,김수남,1
기회,Noun,임채진,1
기회,Noun,정상명,1
기회,Noun,한상대,1
기획,Noun,정상명,2
긴,Verb,한상대,1
긴장감,Noun,김종빈,1
길,Noun,임채진,2
길,Noun,채동욱,3
길,Noun,한상대,2
길목,Noun,채동욱,1
길은,Adjective,김수남,1
길은,Adjective,김진태,1
길은,Adjective,정상명,1
김종,Noun,정상명,1
김진태,Noun,김수남,1
김진태,Noun,채동욱,1
깃털,Noun,정상명,1
깊으면,Adjective,한상대,1
깊은,Adjective,김수남,1
깊은,Adjective,윤석열,1
깊은,Adjective,정상명,1
깊은,Adjective,한상대,1
깊이,Noun,윤석열,1
깊이,Noun,임채진,1
깊이,Noun,정상명,3
깊이,Noun,채동욱,1
까지,Josa,김수남,2
까지,Josa,김진태,2
까지,Josa,윤석열,2
까지,Josa,정상명,1
까지,Josa,채동욱,1
까지도,Josa,김진태,1
까지도,Josa,문무일,1
깔려,Verb,김준규,1
깨끗이,Adverb,김종빈,1
깨끗하지,Adjective,채동욱,1
깨끗한,Adjective,김종빈,1
깨끗한,Adjective,정상명,1
깨끗한,Adjective,채동욱,1
깨끗한,Adjective,한상대,1
