terms,pos,type,count
공정하고,Adjective,2012,2
공정하고,Adjective,2014,1
공정하고,Adjective,2015,2
공정하고,Adjective,2016,1
공정한,Adjective,2007,1
공정한,Adjective,2011,1
공정한,Adjective,2012,1
공정한,Adjective,2014,1
공정한,Adjective,2016,1
공정한,Adjective,2017,1
공조,Noun,2011,1
공존,Noun,2019,1
공직,Noun,2013,1
공직자,Noun,2013,2
공직자,Noun,2015,1
공직자,Noun,2017,5
공직자,Noun,2020,1
공천,Noun,2012,1
공판,Noun,2006,2
공판,Noun,2007,1
공판,Noun,2008,2
공판,Noun,2020,2
과,Josa,2005,23
과,Josa,2006,8
과,Josa,2007,12
과,Josa,2008,26
과,Josa,2009,27
과,Josa,2010,6
과,Josa,2011,6
과,Josa,2012,14
과,Josa,2013,11
과,Josa,2014,17
과,Josa,2015,21
과,Josa,2016,10
과,Josa,2017,19
과,Josa,2018,17
과,Josa,2019,10
과,Josa,2020,11
과,Noun,2006,1
과,Noun,2010,2
과감,Noun,2005,2
과감,Noun,2008,1
과감,Noun,2020,1
과거,Noun,2014,1
과거,Noun,2015,1
과거,Noun,2018,1
과거,Noun,2019,1
과는,Josa,2018,1
과도,Josa,2014,1
과도,Noun,2020,1
과열,Noun,2012,1
과열,Noun,2015,1
과열,Noun,2018,1
과오,Noun,2005,1
과의,Josa,2008,1
과의,Josa,2009,1
과잉,Noun,2020,1
과잉수,Noun,2009,1
과정,Noun,2007,2
과정,Noun,2008,2
과정,Noun,2013,1
과정,Noun,2014,2
과정,Noun,2015,1
과정,Noun,2017,1
과정,Noun,2019,2
과정,Noun,2020,1
과제,Noun,2006,2
과제,Noun,2007,2
과제,Noun,2009,1
과제,Noun,2013,1
과제,Noun,2015,2
과제,Noun,2017,2
과제,Noun,2019,2
과학,Noun,2005,1
과학,Noun,2007,1
과학,Noun,2008,3
과학,Noun,2009,1
과학,Noun,2017,1
관,Noun,2009,1
관,Noun,2016,1
관,Noun,2018,1
관,Noun,2019,2
관건,Noun,2007,1
관계,Noun,2009,1
관계,Noun,2014,1
관계,Noun,2016,1
관계,Noun,2018,1
관계,Noun,2019,1
관계,Noun,2020,1
관계없이,Adverb,2015,1
관대한,Adjective,2016,1
관련,Noun,2005,1
관련,Noun,2007,1
관련,Noun,2008,1
관련,Noun,2009,1
관련,Noun,2012,1
관련,Noun,2015,1
관련,Noun,2017,1
관련,Noun,2020,1
관리,Noun,2017,3
관심,Noun,2007,1
관심,Noun,2015,1
관심,Noun,2018,2
관심,Noun,2019,1
관심,Noun,2020,1
관용,Noun,2009,1
관용,Noun,2010,2
관점,Noun,2020,1
관철,Noun,2009,3
관해,Noun,2018,2
관행,Noun,2005,1
관행,Noun,2007,1
관행,Noun,2012,1
관행,Noun,2013,1
관행,Noun,2018,1
관행,Noun,2020,1
광범위한,Adjective,2014,1
괴롭히고,Verb,2010,1
괴롭히는,Verb,2009,1
괴테,Noun,2009,1
교란,Noun,2015,1
교란,Noun,2016,1
